类别,位置,名称,地址,距离
山,"119.963228,30.077861",东山,富阳区,790
山,"119.983935,30.064351",大岭山,富阳区,1914
山,"119.984107,30.080815",鸡笼山,富阳区,2083
山,"119.943490,30.085343",横山,富阳区,2660
山,"119.996315,30.077705",楼子山,富阳区,3046
山,"120.002015,30.091761",犁尖山,富阳区,4193
红十字会,"119.986146,30.085148",富阳区红十字参与养老服务站,高尔夫北路与环赤路交叉口西140米,2521
红十字会,"119.937833,30.064098",杭州市富阳区红十字心理救援队,文教北路,2789
红十字会,"119.946700,30.048810",杭州市富阳区红十字会,富春街道桂花西路82-2号5楼,3077
紧急避难场所,"119.939450,30.068937",紧急避难场所(巨利路),巨利路与春秋北路交叉口南100米,2534
紧急避难场所,"119.936713,30.044882",太平桥社区应急避险场所,文苑路27-8号附近,4033
宾馆酒店,"119.952708,30.063574",全季酒店(杭州富阳店),东兴路30号109室,1499
宾馆酒店,"119.950894,30.065126",维也纳酒店(杭州富阳银泰店),东兴路49号,1567
宾馆酒店,"119.959671,30.058403",杭州陇林山居酒店,大桥路73号,1523
宾馆酒店,"119.955522,30.062539",维也纳饭店,北渠路辅路与文居街交叉口东南120米,1361
宾馆酒店,"119.962060,30.086359",杭州爱丽芬城堡,银湖街道大岭山路156号,1736
宾馆酒店,"119.950397,30.068503",富春大酒店,公园路18号,1496
宾馆酒店,"119.948171,30.066748",杭州富阳耀悦国际酒店(恩波大道店),迎宾北路82号,1750
宾馆酒店,"119.951057,30.065105",杭州富阳皇家大酒店有限公司,东兴路49号(近公园路),1553
宾馆酒店,"119.949667,30.064686",世豪假日酒店,恩波大道786号,1695
宾馆酒店,"119.949685,30.064681",本色电竞酒店(富阳店),恩波大道786号,1693
奢华酒店,"119.962060,30.086359",杭州爱丽芬城堡,银湖街道大岭山路156号,1736
五星级宾馆,"119.993316,30.077070",杭州富春山居高尔夫度假村,东洲街道江滨东大道339号,2748
五星级宾馆,"119.965781,30.048395",浙江南国大酒店,馆驿里8号,2524
五星级宾馆,"119.993344,30.076875",杭州富春山居度假村大堂,环赤路与环民线交叉口东440米,2746
五星级宾馆,"119.947752,30.041350",富阳国际贸易中心大酒店,江滨西大道56号,3730
五星级宾馆,"119.933419,30.049401",东方茂开元名都大酒店,金桥北路与横凉亭路交叉口西北角东方茂购物中心F4层,3931
五星级宾馆,"119.947659,30.041434",富阳国际贸易中心大酒店国贸厅,江滨西大道56号富阳国际贸易中心大酒店4层,3726
四星级宾馆,"119.948171,30.066748",杭州富阳耀悦国际酒店(恩波大道店),迎宾北路82号,1750
四星级宾馆,"119.951057,30.065105",杭州富阳皇家大酒店有限公司,东兴路49号(近公园路),1553
四星级宾馆,"119.948165,30.066416",耀都德悦大酒店大堂,恩波大道870号杭州富阳耀悦国际酒店(恩波大道店),1761
四星级宾馆,"119.948171,30.066748",耀都德悦大酒店,恩波大道870号,1750
四星级宾馆,"119.943023,30.065432",卡特兰·闲庭酒店,富春街道公园西路211号,2267
四星级宾馆,"119.933770,30.069174",蓝钻国际城堡酒店,金桥北路500号,3077
四星级宾馆,"119.937175,30.051255",悦亭·概念酒店,富春街道孙权路178号第1幢,3519
三星级宾馆,"119.949667,30.064686",世豪假日酒店,恩波大道786号,1695
三星级宾馆,"119.938408,30.066002",中茂大酒店,公园西路406号(公望街地铁站D口步行440米),2683
三星级宾馆,"119.966868,30.050094",杭州富阳宾馆2号楼,馆驿里18号,2338
三星级宾馆,"119.943393,30.049200",富阳国豪大酒店(桂花西路),桂花西路132号,3243
三星级宾馆,"119.978959,30.043797",新沙温泉度假村,新沙岛,3296
经济型连锁酒店,"119.949766,30.058576",汉庭酒店(杭州富阳银泰店),孙权路8号,2067
经济型连锁酒店,"119.955550,30.048513",如家快捷酒店(杭州富阳恩波广场桂花路店),桂花路77号,2692
经济型连锁酒店,"119.955425,30.048425",如家·neo-杭州富阳恩波广场桂花路店,桂花路75-8如家快捷酒店,2706
经济型连锁酒店,"119.962291,30.048194",学林公寓,花坞南路与桂花路交叉口南60米,2567
经济型连锁酒店,"119.940931,30.052129",汉庭酒店(大润发商贸城B座店),康月路183号,3180
经济型连锁酒店,"119.934903,30.045012",全季酒店(杭州富阳富春江酒店),金桥南路69号(桂花西路地铁站E口步行390米),4145
经济型连锁酒店,"119.944592,30.035146",全季酒店(杭州富阳富春江畔店),富春街道江滨西大道88-30号,4484
经济型连锁酒店,"119.934942,30.045097",全季酒店杭州富阳桂花西路地铁站店大堂(装修中),金桥南路69号全季酒店(杭州富阳富春江酒店),4136
旅馆招待所,"119.975270,30.062686",有涧民宿,富春街道大坞坑路180号,1316
旅馆招待所,"119.975245,30.061085",合意民宿,富春街道大坞坑路175号,1446
旅馆招待所,"119.976103,30.058748",杭州栖山苑民宿,新民社区北侧160米,1702
旅馆招待所,"119.949558,30.059997",杭州虎山旅馆,安居西弄12号,1980
旅馆招待所,"119.949618,30.060009",杭州夜安旅馆,富春街道安居路21号,1974
